model_name,anthropic/claude-haiku-4.5,cohere/command-r-08-2024,deepseek/deepseek-chat-v3.1,deepseek/deepseek-r1-0528,google/gemini-2.5-flash,google/gemini-2.5-pro,google/gemma-3-12b-it,google/gemma-3-27b-it,google/gemma-3-4b-it,google/gemma-3n-e4b-it,meta-llama/llama-3.1-8b-instruct,meta-llama/llama-3.3-70b-instruct,meta-llama/llama-4-maverick,mistralai/ministral-8b,mistralai/mistral-medium-3.1,moonshotai/kimi-k2-0905,moonshotai/kimi-k2-thinking,openai/gpt-4.1-mini,openai/gpt-5-mini,openai/gpt-oss-120b,openai/gpt-oss-20b,qwen/qwen-2.5-72b-instruct,qwen/qwen-2.5-7b-instruct,qwen/qwen3-14b,qwen/qwen3-32b,qwen/qwen3-max,x-ai/grok-3-mini,x-ai/grok-4-fast,z-ai/glm-4.6
anthropic/claude-haiku-4.5,0.0,45.45454545454545,55.55555555555556,63.63636363636363,65.65656565656566,58.58585858585859,50.505050505050505,49.494949494949495,37.89473684210527,49.494949494949495,39.39393939393939,45.45454545454545,67.67676767676768,35.35353535353536,58.76288659793815,65.65656565656566,63.73626373626373,60.60606060606061,66.66666666666666,56.56565656565656,39.56043956043956,52.52525252525253,39.39393939393939,38.297872340425535,53.06122448979592,62.62626262626263,59.59595959595959,61.61616161616161,53.535353535353536
cohere/command-r-08-2024,45.45454545454545,0.0,41.70854271356784,47.474747474747474,41.20603015075377,33.33333333333333,46.231155778894475,46.231155778894475,54.6875,43.21608040201005,44.72361809045226,59.2964824120603,45.7286432160804,51.75879396984925,42.13197969543147,41.70854271356784,31.868131868131865,43.43434343434344,41.41414141414141,40.4040404040404,43.258426966292134,41.20603015075377,31.155778894472363,35.82887700534759,41.83673469387755,44.44444444444444,50.25125628140703,44.72361809045226,40.7035175879397
deepseek/deepseek-chat-v3.1,55.55555555555556,41.70854271356784,0.0,67.67676767676768,65.82914572864321,65.65656565656566,53.266331658291456,51.75879396984925,43.75,45.7286432160804,43.71859296482412,55.778894472361806,65.82914572864321,40.20100502512563,64.9746192893401,63.31658291457286,61.53846153846154,67.67676767676768,60.60606060606061,55.55555555555556,41.57303370786517,57.286432160804026,44.221105527638194,44.919786096256686,53.57142857142857,60.60606060606061,66.83417085427136,65.82914572864321,62.8140703517588
deepseek/deepseek-r1-0528,63.63636363636363,47.474747474747474,67.67676767676768,0.0,64.64646464646465,62.62626262626263,51.515151515151516,51.515151515151516,40.0,47.474747474747474,39.39393939393939,54.54545454545454,68.68686868686868,35.35353535353536,58.76288659793815,57.57575757575758,63.73626373626373,62.62626262626263,60.60606060606061,57.57575757575758,45.05494505494506,55.55555555555556,43.43434343434344,43.61702127659575,56.12244897959183,57.57575757575758,66.66666666666666,62.62626262626263,59.59595959595959
google/gemini-2.5-flash,65.65656565656566,41.20603015075377,65.82914572864321,64.64646464646465,0.0,78.78787878787878,49.246231155778894,55.27638190954774,41.14583333333333,52.26130653266332,42.71356783919598,53.266331658291456,65.82914572864321,38.19095477386934,64.46700507614213,61.30653266331658,72.52747252747253,70.70707070707071,68.68686868686868,66.66666666666666,40.44943820224719,51.75879396984925,43.71859296482412,40.64171122994652,51.53061224489795,71.71717171717171,65.82914572864321,68.84422110552764,62.311557788944725
google/gemini-2.5-pro,58.58585858585859,33.33333333333333,65.65656565656566,62.62626262626263,78.78787878787878,0.0,51.515151515151516,50.505050505050505,33.68421052631579,49.494949494949495,34.34343434343434,49.494949494949495,67.67676767676768,30.303030303030305,56.70103092783505,61.61616161616161,68.13186813186813,62.62626262626263,62.62626262626263,56.56565656565656,41.75824175824176,51.515151515151516,39.39393939393939,36.17021276595745,42.857142857142854,69.6969696969697,65.65656565656566,68.68686868686868,62.62626262626263
google/gemma-3-12b-it,50.505050505050505,46.231155778894475,53.266331658291456,51.515151515151516,49.246231155778894,51.515151515151516,0.0,49.246231155778894,43.75,48.743718592964825,44.221105527638194,52.26130653266332,50.25125628140703,46.733668341708544,53.299492385786806,48.24120603015075,46.15384615384615,53.535353535353536,55.55555555555556,55.55555555555556,46.62921348314607,47.23618090452261,35.175879396984925,36.36363636363637,50.51020408163265,49.494949494949495,57.286432160804026,50.25125628140703,52.76381909547738
google/gemma-3-27b-it,49.494949494949495,46.231155778894475,51.75879396984925,51.515151515151516,55.27638190954774,50.505050505050505,49.246231155778894,0.0,47.39583333333333,49.246231155778894,45.7286432160804,54.773869346733676,53.266331658291456,44.221105527638194,54.314720812182735,55.27638190954774,51.64835164835166,52.52525252525253,46.464646464646464,48.484848484848484,43.82022471910113,50.25125628140703,33.66834170854271,39.037433155080215,50.51020408163265,57.57575757575758,56.28140703517588,58.291457286432156,50.753768844221106
google/gemma-3-4b-it,37.89473684210527,54.6875,43.75,40.0,41.14583333333333,33.68421052631579,43.75,47.39583333333333,0.0,42.70833333333333,38.54166666666667,52.604166666666664,45.3125,45.83333333333333,38.94736842105263,43.75,33.70786516853933,38.94736842105263,33.68421052631579,40.0,42.44186046511628,46.35416666666667,37.5,37.569060773480665,46.03174603174603,43.15789473684211,47.91666666666667,43.75,41.66666666666667
google/gemma-3n-e4b-it,49.494949494949495,43.21608040201005,45.7286432160804,47.474747474747474,52.26130653266332,49.494949494949495,48.743718592964825,49.246231155778894,42.70833333333333,0.0,41.70854271356784,49.246231155778894,48.743718592964825,44.221105527638194,50.76142131979695,50.753768844221106,47.25274725274725,51.515151515151516,50.505050505050505,47.474747474747474,46.62921348314607,44.221105527638194,40.7035175879397,35.294117647058826,44.38775510204081,50.505050505050505,52.76381909547738,48.24120603015075,47.23618090452261
meta-llama/llama-3.1-8b-instruct,39.39393939393939,44.72361809045226,43.71859296482412,39.39393939393939,42.71356783919598,34.34343434343434,44.221105527638194,45.7286432160804,38.54166666666667,41.70854271356784,0.0,53.266331658291456,42.71356783919598,51.256281407035175,39.59390862944163,42.71356783919598,42.857142857142854,40.4040404040404,41.41414141414141,35.35353535353536,35.95505617977528,40.20100502512563,42.211055276381906,34.75935828877005,38.775510204081634,40.4040404040404,45.7286432160804,40.7035175879397,42.71356783919598
meta-llama/llama-3.3-70b-instruct,45.45454545454545,59.2964824120603,55.778894472361806,54.54545454545454,53.266331658291456,49.494949494949495,52.26130653266332,54.773869346733676,52.604166666666664,49.246231155778894,53.266331658291456,0.0,56.78391959798995,58.291457286432156,57.360406091370564,51.75879396984925,53.84615384615385,52.52525252525253,49.494949494949495,45.45454545454545,47.19101123595505,53.266331658291456,36.18090452261307,37.967914438502675,47.44897959183674,60.60606060606061,64.82412060301507,55.778894472361806,56.28140703517588
meta-llama/llama-4-maverick,67.67676767676768,45.7286432160804,65.82914572864321,68.68686868686868,65.82914572864321,67.67676767676768,50.25125628140703,53.266331658291456,45.3125,48.743718592964825,42.71356783919598,56.78391959798995,0.0,41.70854271356784,63.45177664974619,62.8140703517588,69.23076923076923,70.70707070707071,62.62626262626263,60.60606060606061,42.69662921348314,54.773869346733676,37.68844221105528,47.593582887700535,52.55102040816326,64.64646464646465,67.33668341708542,66.33165829145729,59.2964824120603
mistralai/ministral-8b,35.35353535353536,51.75879396984925,40.20100502512563,35.35353535353536,38.19095477386934,30.303030303030305,46.733668341708544,44.221105527638194,45.83333333333333,44.221105527638194,51.256281407035175,58.291457286432156,41.70854271356784,0.0,42.63959390862944,40.20100502512563,27.472527472527474,37.37373737373738,35.35353535353536,35.35353535353536,42.13483146067416,41.20603015075377,39.698492462311556,34.22459893048128,37.244897959183675,35.35353535353536,49.74874371859296,41.20603015075377,43.21608040201005
mistralai/mistral-medium-3.1,58.76288659793815,42.13197969543147,64.9746192893401,58.76288659793815,64.46700507614213,56.70103092783505,53.299492385786806,54.314720812182735,38.94736842105263,50.76142131979695,39.59390862944163,57.360406091370564,63.45177664974619,42.63959390862944,0.0,57.868020304568525,64.04494382022472,61.855670103092784,59.79381443298969,47.42268041237113,45.45454545454545,55.32994923857868,41.62436548223351,43.78378378378379,55.154639175257735,54.63917525773196,60.40609137055838,62.944162436548226,61.42131979695431
moonshotai/kimi-k2-0905,65.65656565656566,41.70854271356784,63.31658291457286,57.57575757575758,61.30653266331658,61.61616161616161,48.24120603015075,55.27638190954774,43.75,50.753768844221106,42.71356783919598,51.75879396984925,62.8140703517588,40.20100502512563,57.868020304568525,0.0,63.73626373626373,58.58585858585859,58.58585858585859,53.535353535353536,42.13483146067416,53.768844221105525,42.211055276381906,45.98930481283423,56.63265306122449,58.58585858585859,62.311557788944725,64.321608040201,54.2713567839196
moonshotai/kimi-k2-thinking,63.73626373626373,31.868131868131865,61.53846153846154,63.73626373626373,72.52747252747253,68.13186813186813,46.15384615384615,51.64835164835166,33.70786516853933,47.25274725274725,42.857142857142854,53.84615384615385,69.23076923076923,27.472527472527474,64.04494382022472,63.73626373626373,0.0,60.43956043956044,70.32967032967034,62.637362637362635,41.66666666666667,52.74725274725275,29.67032967032967,40.69767441860465,48.888888888888886,65.93406593406593,62.637362637362635,71.42857142857143,63.73626373626373
openai/gpt-4.1-mini,60.60606060606061,43.43434343434344,67.67676767676768,62.62626262626263,70.70707070707071,62.62626262626263,53.535353535353536,52.52525252525253,38.94736842105263,51.515151515151516,40.4040404040404,52.52525252525253,70.70707070707071,37.37373737373738,61.855670103092784,58.58585858585859,60.43956043956044,0.0,68.68686868686868,62.62626262626263,38.46153846153847,57.57575757575758,47.474747474747474,38.297872340425535,59.183673469387756,65.65656565656566,73.73737373737373,63.63636363636363,62.62626262626263
